epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.698,0.34453,0.75777,0.80998,0.38048,0.72508,0.18748,0.09966,0.61711,792.318,0.55665,0.0001668,0.0001668,0.0001668
2,377.988,0.33479,0.79001,0.80658,0.37206,0.70091,0.18187,0.09255,0.63606,506.036,0.58538,0.000334963,0.000334963,0.000334963
3,558.94,0.33225,0.76254,0.8061,0.28337,0.75885,0.16941,0.0867,0.60956,632.867,0.55737,0.00049886,0.00049886,0.00049886
4,741.66,0.3586,0.72408,0.80811,0.01651,0.66433,0.0349,0.01635,0.57613,1351.02,0.51634,0.000535358,0.000535358,0.000535358
5,934.996,0.33806,0.6101,0.8097,0.13403,0.27617,0.10224,0.05838,0.58367,881.041,0.50032,0.000528478,0.000528478,0.000528478
6,1125.95,0.32698,0.57074,0.80384,0.1298,0.2385,0.08592,0.04772,0.59794,1309.35,0.51351,0.000521598,0.000521598,0.000521598
7,1315.44,0.3197,0.56326,0.80478,0.16668,0.46267,0.13479,0.06788,0.62845,1238.17,0.56748,0.000514717,0.000514717,0.000514717
8,1498.99,0.31432,0.54378,0.80803,0.19298,0.62794,0.14144,0.07403,0.62383,1279.52,0.56348,0.000507836,0.000507836,0.000507836
9,1694.21,0.31284,0.53403,0.80209,0.1456,0.32477,0.1112,0.05827,0.60145,1519.29,0.5413,0.000500956,0.000500956,0.000500956
10,1891.53,0.30514,0.51156,0.81097,0.17239,0.46944,0.13264,0.06984,0.60578,1290.23,0.53754,0.000494075,0.000494075,0.000494075
11,2084.29,0.29396,0.50267,0.8046,0.15726,0.41755,0.12972,0.06617,0.6294,1298.24,0.55087,0.000487195,0.000487195,0.000487195
12,2289.85,0.28357,0.48551,0.80202,0.13579,0.29743,0.07909,0.04241,0.59793,1703.99,0.52648,0.000480314,0.000480314,0.000480314
13,2487,0.29548,0.47793,0.80346,0.25401,0.46458,0.12887,0.06785,0.61837,1586.78,0.56121,0.000473434,0.000473434,0.000473434
14,2689.44,0.29033,0.46295,0.80281,0.14842,0.31595,0.0843,0.04707,0.59424,1540,0.53438,0.000466553,0.000466553,0.000466553
15,2901.68,0.28205,0.45739,0.80088,0.11285,0.15402,0.03465,0.01849,0.55062,1802.66,0.49698,0.000459673,0.000459673,0.000459673
16,3113.81,0.29176,0.46275,0.8033,0.14641,0.28812,0.11176,0.0622,0.59438,1487.22,0.53501,0.000452792,0.000452792,0.000452792
17,3330.22,0.26985,0.44283,0.79784,0.14305,0.29318,0.10356,0.05608,0.60142,1532.08,0.52657,0.000445912,0.000445912,0.000445912
18,3529.19,0.26694,0.43588,0.79729,0.13868,0.26478,0.10267,0.05584,0.59467,1426.32,0.52104,0.000439031,0.000439031,0.000439031
19,3732.46,0.27508,0.43981,0.80063,0.17051,0.44236,0.12837,0.06562,0.6164,1787.99,0.55218,0.000432151,0.000432151,0.000432151
20,3925.78,0.26281,0.43891,0.79881,0.11218,0.15424,0.03633,0.01975,0.5477,1819.73,0.48865,0.00042527,0.00042527,0.00042527
21,4115.82,0.2637,0.40405,0.79969,0.12208,0.21983,0.04704,0.02537,0.56307,1676.8,0.50228,0.00041839,0.00041839,0.00041839
22,4313.61,0.26251,0.42486,0.79854,0.13364,0.26273,0.0675,0.03661,0.58519,1611.5,0.51324,0.00041151,0.00041151,0.00041151
23,4527.23,0.25501,0.41823,0.79732,0.11025,0.14192,0.02107,0.01147,0.55557,1620.95,0.49572,0.000404629,0.000404629,0.000404629
24,4738.46,0.26435,0.42924,0.80187,0.12043,0.22011,0.06811,0.03597,0.586,1432.68,0.52157,0.000397748,0.000397748,0.000397748
25,4933.24,0.24698,0.39657,0.79913,0.14743,0.33978,0.10829,0.05857,0.59025,2078.98,0.5441,0.000390868,0.000390868,0.000390868
26,5127.35,0.26063,0.4072,0.80047,0.14215,0.29452,0.09331,0.04934,0.58664,1457.15,0.52137,0.000383987,0.000383987,0.000383987
27,5310.52,0.24229,0.40262,0.79705,0.14712,0.34146,0.09529,0.04982,0.60926,1679.37,0.53671,0.000377107,0.000377107,0.000377107
28,5513.52,0.25272,0.39992,0.80313,0.15131,0.36182,0.09369,0.04811,0.60522,1838.75,0.54273,0.000370226,0.000370226,0.000370226
29,5725.17,0.24753,0.4109,0.8005,0.13668,0.28772,0.06185,0.03402,0.58011,1680.43,0.52483,0.000363346,0.000363346,0.000363346
30,5934.12,0.24398,0.37999,0.80014,0.12559,0.20453,0.03539,0.02004,0.58969,2115.87,0.53482,0.000356465,0.000356465,0.000356465
31,6140.74,0.24497,0.37551,0.80232,0.10495,0.11656,0.01783,0.01078,0.57025,1555.59,0.5027,0.000349585,0.000349585,0.000349585
32,6334.46,0.25248,0.37716,0.80132,0.15537,0.41918,0.0925,0.05157,0.58524,2068.12,0.53257,0.000342704,0.000342704,0.000342704
33,6557.25,0.24767,0.37203,0.80762,0.13938,0.32689,0.04699,0.02783,0.56185,1359.41,0.50106,0.000335824,0.000335824,0.000335824
34,6783.38,0.23545,0.37209,0.79731,0.12263,0.19829,0.02925,0.01702,0.56416,1583.29,0.5099,0.000328944,0.000328944,0.000328944
35,6986.36,0.23765,0.38299,0.79821,0.14052,0.29338,0.06877,0.03769,0.58763,1750.36,0.51792,0.000322063,0.000322063,0.000322063
36,7195.1,0.23934,0.3557,0.79491,0.12575,0.24191,0.0478,0.02659,0.57098,1772.33,0.5062,0.000315183,0.000315183,0.000315183
