epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.3018,1.24528,4.54026,1.18812,0,0,0,0,1.11821,4.6627,1.3397,0,0,0
2,3.99123,1.1466,4.55459,1.15317,0,0,0,0,1.08593,4.65801,1.31595,8.24753e-06,8.24753e-06,8.24753e-06
3,5.66888,1.18716,4.41292,1.14782,0,0,0,0,1.056,4.6007,1.25978,1.63301e-05,1.63301e-05,1.63301e-05
4,7.46344,1.11032,4.47528,1.15451,0,0,0,0,1.01563,4.5147,1.19199,2.42478e-05,2.42478e-05,2.42478e-05
5,9.13794,1.02169,4.33352,1.07386,0,0,0,0,1.02884,4.41563,1.10325,3.20005e-05,3.20005e-05,3.20005e-05
6,11.0766,1.03183,4.22477,1.02419,0,0,0,0,0.96917,4.26273,1.04831,3.95883e-05,3.95883e-05,3.95883e-05
7,12.9288,1.03986,4.23628,1.02045,0,0,0,0,0.99782,4.18326,1.00906,4.70112e-05,4.70112e-05,4.70112e-05
8,14.6336,1.01742,4.16113,1.01879,0,0,0,0,0.99414,4.12914,0.98329,5.42691e-05,5.42691e-05,5.42691e-05
9,16.3433,0.90152,4.03141,0.94563,0,0,0,0,0.97112,4.08667,0.97341,6.13621e-05,6.13621e-05,6.13621e-05
10,17.9506,0.86662,3.92883,0.95113,0,0,0,0,0.94627,4.07914,0.96899,6.82902e-05,6.82902e-05,6.82902e-05
11,19.5773,0.92399,3.99597,0.93414,0,0,0,0,0.97869,4.04258,0.95817,7.50533e-05,7.50533e-05,7.50533e-05
12,21.2912,0.97881,3.84469,0.98207,0,0,0,0,0.95726,4.03427,0.95273,8.16515e-05,8.16515e-05,8.16515e-05
13,23.2814,0.87592,3.66232,1.00297,0,0,0,0,0.93669,4.03057,0.95049,8.80848e-05,8.80848e-05,8.80848e-05
14,24.9874,0.90136,3.66783,0.94167,0,0,0,0,0.9208,4.02336,0.95072,9.43531e-05,9.43531e-05,9.43531e-05
15,26.7026,0.90635,3.5762,0.95623,0,0,0,0,0.91409,4.01558,0.95589,0.000100456,0.000100456,0.000100456
16,28.3337,0.9327,3.49863,0.97211,0,0,0,0,0.9078,4.00246,0.96238,0.000106395,0.000106395,0.000106395
17,29.9462,0.94349,3.32022,1.01045,0,0,0,0,0.90814,4.00479,0.97779,0.000112168,0.000112168,0.000112168
18,31.6337,0.98047,3.35076,0.94745,0,0,0,0,0.90814,4.00479,0.97779,0.000117777,0.000117777,0.000117777
19,33.2949,0.92732,3.33635,0.9406,0,0,0,0,0.90822,4.00091,0.98795,0.000123221,0.000123221,0.000123221
20,34.8462,0.95489,3.18661,0.97886,0,0,0,0,0.90822,4.00091,0.98795,0.000128499,0.000128499,0.000128499
21,36.6168,0.97148,3.21353,0.96496,0,0,0,0,0.9224,3.98772,1.00164,0.000133613,0.000133613,0.000133613
22,38.3237,0.92088,3.00516,0.95887,0,0,0,0,0.9224,3.98772,1.00164,0.000138562,0.000138562,0.000138562
23,39.9706,0.98692,3.08682,0.97755,0,0,0,0,0.9595,3.92955,0.98557,0.000143346,0.000143346,0.000143346
24,41.6602,0.84912,2.8178,0.9655,0,0,0,0,0.9595,3.92955,0.98557,0.000147965,0.000147965,0.000147965
25,43.3744,0.97759,3.01344,0.94281,0,0,0,0,0.96528,3.87893,0.98292,0.000152419,0.000152419,0.000152419
26,44.9281,1.0128,2.90055,1.0367,0,0,0,0,0.96528,3.87893,0.98292,0.000156708,0.000156708,0.000156708
27,46.7006,0.97658,2.89578,0.93113,0.00874,0.25,0.0529,0.03941,0.92614,3.82518,0.96596,0.000160832,0.000160832,0.000160832
28,48.4072,1.00008,2.59004,0.97381,0.00874,0.25,0.0529,0.03941,0.92614,3.82518,0.96596,0.000164792,0.000164792,0.000164792
29,50.0265,0.9781,2.68853,0.95662,0.02849,0.5,0.20729,0.16427,0.94321,3.77088,0.96905,0.000168586,0.000168586,0.000168586
30,51.7215,0.98583,2.52097,0.9414,0.02849,0.5,0.20729,0.16427,0.94321,3.77088,0.96905,0.000172215,0.000172215,0.000172215
31,53.5239,1.02854,2.45019,1.03385,0.0274,0.5625,0.25351,0.18072,0.95107,3.69471,0.9583,0.00017568,0.00017568,0.00017568
32,55.0997,0.99499,2.37989,0.95105,0.0274,0.5625,0.25351,0.18072,0.95107,3.69471,0.9583,0.000178979,0.000178979,0.000178979
33,56.9427,1.02609,2.59271,0.99214,0.02667,0.75,0.42065,0.28014,0.96666,3.55879,0.95689,0.000182114,0.000182114,0.000182114
34,58.5418,0.94886,2.41866,0.99687,0.02667,0.75,0.42065,0.28014,0.96666,3.55879,0.95689,0.000185083,0.000185083,0.000185083
35,60.1003,0.97691,2.22756,0.9562,0.02459,0.6875,0.39354,0.26104,1.02699,3.51557,0.97087,0.000187888,0.000187888,0.000187888
36,61.7306,0.99221,2.3589,1.00481,0.02459,0.6875,0.39354,0.26104,1.02699,3.51557,0.97087,0.000190528,0.000190528,0.000190528
37,63.4072,1.03591,2.29231,0.95051,0.02626,0.75,0.39301,0.25065,1.06756,3.51408,0.99739,0.000193003,0.000193003,0.000193003
38,64.9404,1.00071,2.12884,0.94325,0.02626,0.75,0.39301,0.25065,1.06756,3.51408,0.99739,0.000195313,0.000195313,0.000195313
