epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,194.217,0.92929,3.96242,0.96791,0.01044,0.30618,0.04077,0.02222,0.50099,104.297,0.40663,0.0001668,0.0001668,0.0001668
2,383.618,0.73839,2.21874,0.86294,0.86321,0.08423,0.09413,0.04594,0.5797,110.575,0.43179,0.000335802,0.000335802,0.000335802
3,572.777,0.59557,1.43092,0.84267,0.75214,0.24082,0.12529,0.06643,0.59924,130.933,0.48839,0.000501392,0.000501392,0.000501392
4,764.323,0.54184,1.16072,0.83522,0.50479,0.53804,0.14571,0.07921,0.59274,191.533,0.51694,0.000539487,0.000539487,0.000539487
5,957.455,0.47836,0.95465,0.82941,0.50715,0.59487,0.15545,0.0824,0.61879,243.399,0.53235,0.000533982,0.000533982,0.000533982
6,1142.58,0.43087,0.89258,0.82084,0.50753,0.6008,0.16071,0.08268,0.63347,342.534,0.56705,0.000528478,0.000528478,0.000528478
7,1325.59,0.40557,0.85393,0.81956,0.43888,0.68486,0.16527,0.08701,0.62428,735,0.56153,0.000522974,0.000522974,0.000522974
8,1512.08,0.38303,0.8299,0.81936,0.36706,0.72257,0.17973,0.0969,0.60453,554.175,0.53738,0.000517469,0.000517469,0.000517469
9,1699.11,0.3806,0.85939,0.81345,0.36817,0.71237,0.17968,0.0916,0.64784,409.086,0.58207,0.000511965,0.000511965,0.000511965
10,1883.84,0.3698,0.78532,0.82147,0.3686,0.72111,0.18262,0.093,0.62302,743.555,0.54926,0.00050646,0.00050646,0.00050646
11,2069.09,0.34694,0.77419,0.81187,0.28946,0.74899,0.17092,0.08966,0.61174,929.642,0.55407,0.000500956,0.000500956,0.000500956
12,2255.32,0.33663,0.69084,0.8107,0.20577,0.70592,0.15883,0.08154,0.61863,1373.56,0.56047,0.000495452,0.000495452,0.000495452
13,2442.16,0.33404,0.61688,0.80852,0.21115,0.7375,0.14939,0.07575,0.61713,1430.58,0.56085,0.000489947,0.000489947,0.000489947
14,2645.17,0.32282,0.60023,0.80708,0.14335,0.34401,0.10682,0.05947,0.61366,1463.43,0.51551,0.000484443,0.000484443,0.000484443
15,2831.27,0.31239,0.57537,0.80429,0.12802,0.22326,0.0501,0.02566,0.58071,1498.41,0.50404,0.000478938,0.000478938,0.000478938
16,3015.68,0.31679,0.55477,0.80643,0.14935,0.32495,0.10379,0.05634,0.60373,1313.4,0.54103,0.000473434,0.000473434,0.000473434
17,3200.38,0.30275,0.52464,0.80073,0.16507,0.44106,0.10986,0.05666,0.62483,1430.66,0.53426,0.00046793,0.00046793,0.00046793
